,March_Maha
81249,15.484824196616609
81499,14.588341116004763
81749,14.252437372223646
81999,14.052089785433685
82249,50.46757440879617
82499,43.230539447597714
82749,34.86423786371564
82999,30.76331190456288
83249,28.37663613473696
83499,28.158159692192186
83749,29.115575151950313
83999,30.83216401971891
84249,14.534073516247554
84499,14.434600491955786
84749,13.830276191697477
84999,16.80170405991028
85249,15.937237372932039
85499,15.631656577194768
85749,16.354495941357463
85999,16.05845931420802
86249,60.80056305134622
86499,46.551150246536295
86749,48.65827380469166
86999,52.69485263875658
87249,54.61586630627866
87499,66.05012057912316
87749,47.538452369632026
87999,52.25763443514627
88249,45.664814655844786
88499,19.837908838344497
88749,18.545814725553335
88999,19.53290695684469
89249,18.33043932091288
89499,19.99717869600472
89749,19.348967315336445
89999,17.095984539710756
90249,16.444989618878015
90499,17.411386315566013
90749,16.252127018509988
90999,14.79571458508308
91249,13.826767104255392
91499,13.527652745475148
91749,30.488561182342817
91999,27.699493544044827
92249,39.606038823152936
92499,44.444574543854486
92749,39.404794386537894
92999,29.624816879761354
93249,28.52041976627024
93499,161.04038707027777
93749,30.996625225556237
93999,32.496684195339455
94249,32.73902902076084
94499,33.01848436615457
94749,33.16052468256517
94999,33.12198818114966
95249,33.37107818058418
95499,32.76472190181179
95749,33.26751627360869
95999,31.191547201704793
96249,29.42945951569329
96499,29.396375762049267
96749,29.247631447439158
96999,30.479035449490578
97249,30.564498117176786
97499,41.40919197005976
97749,40.122026055460324
97999,38.782534887545715
98249,37.629701123027
98499,37.84984522867892
98749,37.17448170033855
98999,36.97755477803694
99249,38.007421715853596
99499,26.688800806514518
99749,26.05308591177886
99999,26.15823146684236
100249,26.849013124391362
100499,26.007685499622514
100749,26.56233113032042
100999,25.875022370864848
101249,25.184528497242166
101499,93.83876072693823
101749,32.894439323838526
101999,30.51711044303586
102249,26.382945978148367
102499,25.65508242225012
102749,29.813854673146718
102999,28.46430034221756
103249,29.463059097878812
103499,38.606346064308184
103749,24.619591253918188
103999,24.81662005270115
104249,24.049635864050465
104499,24.316037590662013
104749,25.181517075707895
104999,26.50597589027683
105249,26.813280460362005
105499,47.87627153808782
105749,45.62834485267009
105999,43.036137311972766
106249,40.84249200445679
106499,39.10237194523264
106749,35.47858964669407
106999,32.30434607229247
107249,31.340442340200145
107499,21.397972426411574
107749,22.411802924959055
107999,23.966907948659944
108249,27.228673365650078
108499,27.382084538950334
108749,28.49101363143076
108999,24.686970385880635
109249,24.606742320804848
109499,24.3689412940569
109749,26.474858303631706
109999,26.090844545457934
110249,25.96221939914677
110499,26.744090484213785
110749,25.75217962675674
110999,25.71500667394116
111249,25.575056235064554
111499,25.656806213853788
111749,25.871908430311827
111999,25.095483283276057
112249,25.5183345541315
112499,41.78729867784184
112749,38.830015784062844
112999,36.615269120288076
113249,27.941925852693636
113499,24.368603915772425
113749,21.64320468362523
113999,19.675955444060158
114249,16.861082931548136
114499,30.45214561580384
114749,32.49254430710015
114999,35.622058291308434
115249,24.449617444750814
115499,24.38821544706693
115749,25.3622675686573
115999,24.984326333335968
116249,22.193839979967308
116499,20.49528094211815
116749,55.04127641594246
116999,46.59303831157821
117249,38.6966837823189
117499,39.86259995618885
117749,53.13015879581248
117999,62.02865910280551
118249,63.87559992276208
118499,71.88064408443968
118749,21.805545208411093
118999,21.219691404227035
119249,24.487263469203093
119499,23.24325060548197
119749,24.126586024956566
119999,24.99759883794617
120249,25.086163423184143
120499,26.638799809686812
120749,26.25058929949446
120999,27.14479707708024
121249,27.650644124726362
121499,27.719643254700166
121749,27.912206354183834
121999,26.306658351777177
